年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1999,ゼロックススーパーカップ,,02/27(土),14:52,鹿島,2-1,清水,国立,"28,520",日本テレビ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),14:03,名古屋,1-0,福岡,瑞穂陸,"18,543",名古屋テレビ／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,浦和,2-1,Ｇ大阪,駒場,"18,639",テレビ埼玉／Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,Ｃ大阪,2-1,広島,長居,"6,697",ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:03,磐田,3-1,神戸,磐田,"13,349",静岡放送
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,鹿島,4-0,市原,国立,"19,531",ＢＳ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,清水,3-1,Ｖ川崎,日本平,"11,169",テレビ静岡／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:07,横浜FM,2-0,平塚,横浜国,"36,214",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),19:04,柏,1-0,京都,柏,"9,018",ＢＳ（生）
1999,サテライトリーグ Ｂグループ,第１日,03/07(日),14:02,Ｖ川崎,2-2,磐田,よみうり,352,
1999,サテライトリーグ Ｂグループ,第１日,03/07(日),15:00,清水,1-1,横浜FM,草薙陸,175,
1999,サテライトリーグ Ｃグループ,第１日,03/07(日),14:00,Ｇ大阪,4-0,Ｃ大阪,田辺Ｇ,41,
1999,サテライトリーグ Ｃグループ,第１日,03/07(日),15:01,福岡,0-1,広島,雁の巣,110,
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),14:03,Ｇ大阪,3-2,名古屋,万博,"17,807",ＮＨＫ総合
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,Ｖ川崎,2-0,Ｃ大阪,等々力,"6,045",日本テレビ（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,福岡,1-4,柏,博多球,"8,800",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,京都,1-3,横浜FM,西京極,"8,496",ＫＢＳ京都（録）／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,神戸,1-2,鹿島,神戸ユ,"7,516",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:04,平塚,0-1,清水,平塚,"6,253",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:05,広島,0-1,磐田,広島ビ,"17,263",テレビ新広島
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),19:04,市原,0-0,浦和,市原,"8,057",ＢＳ（生）
1999,Ｊ２,第１節第１日,03/14(日),12:59,甲府,1-2,大宮,韮崎中央,"2,027",
1999,Ｊ２,第１節第１日,03/14(日),13:00,Ｆ東京,2-0,鳥栖,西が丘,"3,685",東京メトロポリタンテレビ（録）
1999,Ｊ２,第１節第１日,03/14(日),13:00,川崎Ｆ,0-1,新潟,等々力,"4,469",
1999,Ｊ２,第１節第１日,03/14(日),13:01,大分,1-0,札幌,大分,"3,741",大分放送
1999,Ｊ２,第１節第１日,03/14(日),13:04,仙台,2-3,山形,仙台,"10,315",ＮＨＫ仙台（生）
