date,opening,high,low,closing
2008-03-31,98.96,100.18,98.95,99.69
2008-04-01,99.69,102.13,99.61,101.84
2008-04-02,101.84,102.83,101.52,102.37
2008-04-03,102.36,102.94,102.08,102.27
2008-04-04,102.27,102.69,101.47,101.59
2008-04-07,101.63,102.84,101.56,102.41
2008-04-08,102.41,102.68,101.77,102.66
2008-04-09,102.66,102.83,101.5,101.81
2008-04-10,101.81,102.03,100.03,101.94
2008-04-11,101.94,102.27,100.65,100.86
2008-04-14,101.23,101.51,100.31,101.09
2008-04-15,101.1,101.83,100.8,101.82
2008-04-16,101.82,101.93,100.83,101.83
2008-04-17,101.83,102.72,101.72,102.48
2008-04-18,102.48,104.64,102.27,103.71
2008-04-21,104.03,104.06,102.99,103.27
2008-04-22,103.27,103.53,102.69,103.03
2008-04-23,103.03,103.78,102.75,103.38
2008-04-24,103.38,104.55,103.33,104.25
2008-04-25,104.28,104.81,103.92,104.42
2008-04-28,104.47,104.8,104.09,104.19
2008-04-29,104.19,104.36,103.23,104.03
2008-04-30,104.02,104.88,103.69,103.92
2008-05-01,103.87,104.58,103.56,104.44
2008-05-02,104.43,105.68,104.33,105.39
2008-05-05,105.31,105.62,104.75,104.85
2008-05-06,104.85,105.12,104.03,104.77
2008-05-07,104.77,105.58,104.63,104.74
2008-05-08,104.73,104.94,103.42,103.73
2008-05-09,103.73,103.97,102.62,102.96
2008-05-12,102.88,104.03,102.58,103.75
2008-05-13,103.75,104.92,103.39,104.75
2008-05-14,104.75,105.44,104.58,105.05
2008-05-15,105.05,105.3,104.44,104.75
2008-05-16,104.75,105.09,103.56,104.09
2008-05-19,104.11,104.69,103.64,104.33
2008-05-20,104.33,104.48,103.47,103.67
2008-05-21,103.67,103.69,102.97,103.05
2008-05-22,103.06,104.38,102.73,104.08
2008-05-23,104.07,104.25,103.06,103.32
2008-05-26,103.4,103.48,103.14,103.42
2008-05-27,103.42,104.33,103.27,104.23
2008-05-28,104.24,105.31,103.89,104.69
2008-05-29,104.69,105.88,104.61,105.5
2008-05-30,105.5,105.73,105.25,105.42
2008-06-02,105.41,105.54,104.06,104.43
2008-06-03,104.43,105.55,103.89,105.09
2008-06-04,105.09,105.33,104.55,105.23
2008-06-05,105.22,106.42,105.21,105.96
2008-06-06,105.96,106.33,104.92,104.99
2008-06-09,104.66,106.36,104.63,106.31
2008-06-10,106.3,107.44,106.25,107.44
2008-06-11,107.44,107.75,106.57,106.98
2008-06-12,106.97,108.08,106.81,107.96
2008-06-13,107.96,108.39,107.66,108.22
2008-06-16,108.24,108.58,107.93,108.22
2008-06-17,108.22,108.38,107.61,107.93
2008-06-18,107.93,108.43,107.72,107.88
2008-06-19,107.88,108.06,107.42,108.01
2008-06-20,108.0,108.06,107.14,107.27
2008-06-23,107.44,108.06,107.16,107.84
2008-06-24,107.84,108.21,107.36,107.81
2008-06-25,107.82,108.41,107.67,107.81
2008-06-26,107.81,108.19,106.61,106.81
2008-06-27,106.81,107.2,105.86,106.17
2008-06-30,106.26,106.47,105.0,106.22
2008-07-01,106.22,106.39,105.23,106.13
2008-07-02,106.13,106.77,105.78,105.9
2008-07-03,105.94,106.92,105.79,106.73
2008-07-04,106.73,106.88,106.61,106.77
2008-07-07,106.77,107.75,106.67,107.19
2008-07-08,107.19,107.54,106.25,107.51
2008-07-09,107.5,107.66,106.69,106.76
2008-07-10,106.76,107.42,106.7,107.07
2008-07-11,107.07,107.3,105.67,106.39
2008-07-14,106.47,106.81,106.05,106.15
2008-07-15,106.15,106.28,104.17,104.71
2008-07-16,104.73,105.18,103.78,105.13
2008-07-17,105.13,107.08,104.77,106.29
2008-07-18,106.28,106.98,105.98,106.94
2008-07-21,106.94,107.14,106.38,106.45
2008-07-22,106.45,107.44,106.06,107.33
2008-07-23,107.34,107.97,107.17,107.89
